detection_path,path,coordinates,outputs,original,translation,translated,text_en,deepl
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/004.json,images/balloon_dream/ja/004.jpg,"[619, 958, 64, 130]","<text>世の中虎穴に入らずんば虎子を得ずだ</text><translation>You won't get tiger cubs unless you enter the tiger's den.</translation><text>旅行してぇだけだろ！！</text><translation>You just want to go on a trip, right!!</translation><text>先生はそれをお前に教えたい</text><translation>The teacher wants to teach you that.</translation><text>お前が石橋を叩いて渡るのが好きなのはわかるが</text><translation>I understand that you like to cross the river by tapping the stones, but</translation><text>だから先生が温泉に行ってる間天文部を頼む</text><translation>So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.</translation><text>～</text><translation>~</translation><text>１</text><translation>1</translation><text>まあ聞け</text><translation>Well, listen.</translation><text>！？</text><translation>!?</translation><text>ちょっ</text><translation>Huh</translation><text>なんで関係ない部活の手伝いなんかー</text><translation>Why do I have to help with some unrelated club activity-</translation><text>！</text><translation>!</translation><text>．．．</text><translation>...</translation><text>お前には夏休みの間</text><translation>During the summer break,</translation><text>我が天文部の手伝いをしてもらう</text><translation>I'll have you help out with my astronomy club.</translation>",世の中虎穴に入らずんば虎子を得ずだ,You won't get tiger cubs unless you enter the tiger's den.,"(If you don't enter the tiger's den, you won't get the tiger's cub)","but like the saying goes, ""nothing ventured, nothing gained.""","If you don't go into the tiger's den, you won't get the tiger's lion's share"
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/004.json,images/balloon_dream/ja/004.jpg,"[426, 851, 57, 147]","<text>世の中虎穴に入らずんば虎子を得ずだ</text><translation>You won't get tiger cubs unless you enter the tiger's den.</translation><text>旅行してぇだけだろ！！</text><translation>You just want to go on a trip, right!!</translation><text>先生はそれをお前に教えたい</text><translation>The teacher wants to teach you that.</translation><text>お前が石橋を叩いて渡るのが好きなのはわかるが</text><translation>I understand that you like to cross the river by tapping the stones, but</translation><text>だから先生が温泉に行ってる間天文部を頼む</text><translation>So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.</translation><text>～</text><translation>~</translation><text>１</text><translation>1</translation><text>まあ聞け</text><translation>Well, listen.</translation><text>！？</text><translation>!?</translation><text>ちょっ</text><translation>Huh</translation><text>なんで関係ない部活の手伝いなんかー</text><translation>Why do I have to help with some unrelated club activity-</translation><text>！</text><translation>!</translation><text>．．．</text><translation>...</translation><text>お前には夏休みの間</text><translation>During the summer break,</translation><text>我が天文部の手伝いをしてもらう</text><translation>I'll have you help out with my astronomy club.</translation>",先生はそれをお前に教えたい,The teacher wants to teach you that.,(I want to teach you that),I want you to learn from this experience,That's what your teacher wants to teach you.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/004.json,images/balloon_dream/ja/004.jpg,"[654, 820, 94, 135]","<text>世の中虎穴に入らずんば虎子を得ずだ</text><translation>You won't get tiger cubs unless you enter the tiger's den.</translation><text>旅行してぇだけだろ！！</text><translation>You just want to go on a trip, right!!</translation><text>先生はそれをお前に教えたい</text><translation>The teacher wants to teach you that.</translation><text>お前が石橋を叩いて渡るのが好きなのはわかるが</text><translation>I understand that you like to cross the river by tapping the stones, but</translation><text>だから先生が温泉に行ってる間天文部を頼む</text><translation>So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.</translation><text>～</text><translation>~</translation><text>１</text><translation>1</translation><text>まあ聞け</text><translation>Well, listen.</translation><text>！？</text><translation>!?</translation><text>ちょっ</text><translation>Huh</translation><text>なんで関係ない部活の手伝いなんかー</text><translation>Why do I have to help with some unrelated club activity-</translation><text>！</text><translation>!</translation><text>．．．</text><translation>...</translation><text>お前には夏休みの間</text><translation>During the summer break,</translation><text>我が天文部の手伝いをしてもらう</text><translation>I'll have you help out with my astronomy club.</translation>",お前が石橋を叩いて渡るのが好きなのはわかるが,"I understand that you like to cross the river by tapping the stones, but",(I understand that you like to pass the stone bridge),"I understand that you prefer being excessively cautious,",I know you like to bang on stone bridges and cross them.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/004.json,images/balloon_dream/ja/004.jpg,"[305, 819, 74, 156]","<text>世の中虎穴に入らずんば虎子を得ずだ</text><translation>You won't get tiger cubs unless you enter the tiger's den.</translation><text>旅行してぇだけだろ！！</text><translation>You just want to go on a trip, right!!</translation><text>先生はそれをお前に教えたい</text><translation>The teacher wants to teach you that.</translation><text>お前が石橋を叩いて渡るのが好きなのはわかるが</text><translation>I understand that you like to cross the river by tapping the stones, but</translation><text>だから先生が温泉に行ってる間天文部を頼む</text><translation>So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.</translation><text>～</text><translation>~</translation><text>１</text><translation>1</translation><text>まあ聞け</text><translation>Well, listen.</translation><text>！？</text><translation>!?</translation><text>ちょっ</text><translation>Huh</translation><text>なんで関係ない部活の手伝いなんかー</text><translation>Why do I have to help with some unrelated club activity-</translation><text>！</text><translation>!</translation><text>．．．</text><translation>...</translation><text>お前には夏休みの間</text><translation>During the summer break,</translation><text>我が天文部の手伝いをしてもらう</text><translation>I'll have you help out with my astronomy club.</translation>",だから先生が温泉に行ってる間天文部を頼む,So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.,"(So, I'll ask the astronomy club to help during the time the teacher is at the hot springs)",that's why i'm leaving you with astronomy club while I'm going to the hot springs,"So while the teacher is at the spa, I'll take care of the astronomy club."
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/004.json,images/balloon_dream/ja/004.jpg,"[98, 659, 36, 108]","<text>世の中虎穴に入らずんば虎子を得ずだ</text><translation>You won't get tiger cubs unless you enter the tiger's den.</translation><text>旅行してぇだけだろ！！</text><translation>You just want to go on a trip, right!!</translation><text>先生はそれをお前に教えたい</text><translation>The teacher wants to teach you that.</translation><text>お前が石橋を叩いて渡るのが好きなのはわかるが</text><translation>I understand that you like to cross the river by tapping the stones, but</translation><text>だから先生が温泉に行ってる間天文部を頼む</text><translation>So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.</translation><text>～</text><translation>~</translation><text>１</text><translation>1</translation><text>まあ聞け</text><translation>Well, listen.</translation><text>！？</text><translation>!?</translation><text>ちょっ</text><translation>Huh</translation><text>なんで関係ない部活の手伝いなんかー</text><translation>Why do I have to help with some unrelated club activity-</translation><text>！</text><translation>!</translation><text>．．．</text><translation>...</translation><text>お前には夏休みの間</text><translation>During the summer break,</translation><text>我が天文部の手伝いをしてもらう</text><translation>I'll have you help out with my astronomy club.</translation>",まあ聞け,"Well, listen.","(Okay, listen up)",listen.,"Well, listen."
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/004.json,images/balloon_dream/ja/004.jpg,"[482, 516, 35, 82]","<text>世の中虎穴に入らずんば虎子を得ずだ</text><translation>You won't get tiger cubs unless you enter the tiger's den.</translation><text>旅行してぇだけだろ！！</text><translation>You just want to go on a trip, right!!</translation><text>先生はそれをお前に教えたい</text><translation>The teacher wants to teach you that.</translation><text>お前が石橋を叩いて渡るのが好きなのはわかるが</text><translation>I understand that you like to cross the river by tapping the stones, but</translation><text>だから先生が温泉に行ってる間天文部を頼む</text><translation>So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.</translation><text>～</text><translation>~</translation><text>１</text><translation>1</translation><text>まあ聞け</text><translation>Well, listen.</translation><text>！？</text><translation>!?</translation><text>ちょっ</text><translation>Huh</translation><text>なんで関係ない部活の手伝いなんかー</text><translation>Why do I have to help with some unrelated club activity-</translation><text>！</text><translation>!</translation><text>．．．</text><translation>...</translation><text>お前には夏休みの間</text><translation>During the summer break,</translation><text>我が天文部の手伝いをしてもらう</text><translation>I'll have you help out with my astronomy club.</translation>",ちょっ,Huh,(Hey),"hey, wait!",hey!
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/004.json,images/balloon_dream/ja/004.jpg,"[624, 238, 71, 144]","<text>世の中虎穴に入らずんば虎子を得ずだ</text><translation>You won't get tiger cubs unless you enter the tiger's den.</translation><text>旅行してぇだけだろ！！</text><translation>You just want to go on a trip, right!!</translation><text>先生はそれをお前に教えたい</text><translation>The teacher wants to teach you that.</translation><text>お前が石橋を叩いて渡るのが好きなのはわかるが</text><translation>I understand that you like to cross the river by tapping the stones, but</translation><text>だから先生が温泉に行ってる間天文部を頼む</text><translation>So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.</translation><text>～</text><translation>~</translation><text>１</text><translation>1</translation><text>まあ聞け</text><translation>Well, listen.</translation><text>！？</text><translation>!?</translation><text>ちょっ</text><translation>Huh</translation><text>なんで関係ない部活の手伝いなんかー</text><translation>Why do I have to help with some unrelated club activity-</translation><text>！</text><translation>!</translation><text>．．．</text><translation>...</translation><text>お前には夏休みの間</text><translation>During the summer break,</translation><text>我が天文部の手伝いをしてもらう</text><translation>I'll have you help out with my astronomy club.</translation>",お前には夏休みの間,"During the summer break,",(During the summer vacation),"During this summer vacation,",You have the whole summer off.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/004.json,images/balloon_dream/ja/004.jpg,"[74, 215, 91, 152]","<text>世の中虎穴に入らずんば虎子を得ずだ</text><translation>You won't get tiger cubs unless you enter the tiger's den.</translation><text>旅行してぇだけだろ！！</text><translation>You just want to go on a trip, right!!</translation><text>先生はそれをお前に教えたい</text><translation>The teacher wants to teach you that.</translation><text>お前が石橋を叩いて渡るのが好きなのはわかるが</text><translation>I understand that you like to cross the river by tapping the stones, but</translation><text>だから先生が温泉に行ってる間天文部を頼む</text><translation>So I'm counting on you to take care of the astronomy club while the teacher is at the hot spring.</translation><text>～</text><translation>~</translation><text>１</text><translation>1</translation><text>まあ聞け</text><translation>Well, listen.</translation><text>！？</text><translation>!?</translation><text>ちょっ</text><translation>Huh</translation><text>なんで関係ない部活の手伝いなんかー</text><translation>Why do I have to help with some unrelated club activity-</translation><text>！</text><translation>!</translation><text>．．．</text><translation>...</translation><text>お前には夏休みの間</text><translation>During the summer break,</translation><text>我が天文部の手伝いをしてもらう</text><translation>I'll have you help out with my astronomy club.</translation>",我が天文部の手伝いをしてもらう,I'll have you help out with my astronomy club.,(I will help with the astronomy club),you are going to help us with the astronomy club.,You'll be helping our astronomy club.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/005.json,images/balloon_dream/ja/005.jpg,"[688, 716, 58, 96]","<text>！！</text><translation>!!</translation><text>！！</text><translation>!!</translation><text>そういう</text><translation>That's right</translation><text>ん？</text><translation>Huh?</translation><text>失礼しまーす</text><translation>Excuse me</translation><text>ここか</text><translation>Is this it?</translation><text>ええ！？</text><translation>What!?</translation><text>おぉおおお！？</text><translation>Oh no!?</translation><text>うぉおおお</text><translation>Whoa!</translation><text>．．．天文部</text><translation>...Astronomy club</translation><text>そういえば</text><translation>By the way</translation><text>え</text><translation>Huh?</translation><text>ダッ！！</text><translation>Damn it!!</translation><text>脅迫じゃねーかあのパワハラ教師！！</text><translation>That teacher is threatening me with power harassment!!</translation><text>なぜ俺がこんなことを．．．</text><translation>Why am I doing something like this...</translation><text>ちっくしょ〜</text><translation>Damn it~</translation><text>手伝わんなら推薦はやらん</text><translation>If you don't help, I won't recommend you.</translation>",失礼しまーす,Excuse me,Excuse me,excuse me.,excuse me
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/005.json,images/balloon_dream/ja/005.jpg,"[544, 546, 36, 82]","<text>！！</text><translation>!!</translation><text>！！</text><translation>!!</translation><text>そういう</text><translation>That's right</translation><text>ん？</text><translation>Huh?</translation><text>失礼しまーす</text><translation>Excuse me</translation><text>ここか</text><translation>Is this it?</translation><text>ええ！？</text><translation>What!?</translation><text>おぉおおお！？</text><translation>Oh no!?</translation><text>うぉおおお</text><translation>Whoa!</translation><text>．．．天文部</text><translation>...Astronomy club</translation><text>そういえば</text><translation>By the way</translation><text>え</text><translation>Huh?</translation><text>ダッ！！</text><translation>Damn it!!</translation><text>脅迫じゃねーかあのパワハラ教師！！</text><translation>That teacher is threatening me with power harassment!!</translation><text>なぜ俺がこんなことを．．．</text><translation>Why am I doing something like this...</translation><text>ちっくしょ〜</text><translation>Damn it~</translation><text>手伝わんなら推薦はやらん</text><translation>If you don't help, I won't recommend you.</translation>",ここか,Is this it?,Here?,Here?,the nine gates of Heian's greater palace
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/005.json,images/balloon_dream/ja/005.jpg,"[525, 20, 28, 110]","<text>！！</text><translation>!!</translation><text>！！</text><translation>!!</translation><text>そういう</text><translation>That's right</translation><text>ん？</text><translation>Huh?</translation><text>失礼しまーす</text><translation>Excuse me</translation><text>ここか</text><translation>Is this it?</translation><text>ええ！？</text><translation>What!?</translation><text>おぉおおお！？</text><translation>Oh no!?</translation><text>うぉおおお</text><translation>Whoa!</translation><text>．．．天文部</text><translation>...Astronomy club</translation><text>そういえば</text><translation>By the way</translation><text>え</text><translation>Huh?</translation><text>ダッ！！</text><translation>Damn it!!</translation><text>脅迫じゃねーかあのパワハラ教師！！</text><translation>That teacher is threatening me with power harassment!!</translation><text>なぜ俺がこんなことを．．．</text><translation>Why am I doing something like this...</translation><text>ちっくしょ〜</text><translation>Damn it~</translation><text>手伝わんなら推薦はやらん</text><translation>If you don't help, I won't recommend you.</translation>",ちっくしょ〜,Damn it~,(Translated English text here),damn it...,shit
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/005.json,images/balloon_dream/ja/005.jpg,"[373, 13, 60, 141]","<text>！！</text><translation>!!</translation><text>！！</text><translation>!!</translation><text>そういう</text><translation>That's right</translation><text>ん？</text><translation>Huh?</translation><text>失礼しまーす</text><translation>Excuse me</translation><text>ここか</text><translation>Is this it?</translation><text>ええ！？</text><translation>What!?</translation><text>おぉおおお！？</text><translation>Oh no!?</translation><text>うぉおおお</text><translation>Whoa!</translation><text>．．．天文部</text><translation>...Astronomy club</translation><text>そういえば</text><translation>By the way</translation><text>え</text><translation>Huh?</translation><text>ダッ！！</text><translation>Damn it!!</translation><text>脅迫じゃねーかあのパワハラ教師！！</text><translation>That teacher is threatening me with power harassment!!</translation><text>なぜ俺がこんなことを．．．</text><translation>Why am I doing something like this...</translation><text>ちっくしょ〜</text><translation>Damn it~</translation><text>手伝わんなら推薦はやらん</text><translation>If you don't help, I won't recommend you.</translation>",手伝わんなら推薦はやらん,"If you don't help, I won't recommend you.","If you won't help, I won't recommend you.","if you don't help me, I won't write the recommendation letter.","If you don't help me, I won't give you a recommendation."
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/006.json,images/balloon_dream/ja/006.jpg,"[254, 11, 77, 125]","<text>風船いッぱい夢いっぱいの天文部へ！</text><translation>Welcome to the astronomy club full of dreams and balloons!</translation><text>ようこそ！</text><translation>Welcome!</translation><text>あっもしかしてお手伝いの方ですか？</text><translation>Ah, could you be the helper?</translation><text>な、なんだこれ！？</text><translation>W-what is this!?</translation><text>．．．風船？</text><translation>...Balloons?</translation><text>すっすみません今散らかってて</text><translation>I'm really sorry, it's a mess right now.</translation>",すっすみません今散らかってて,"I'm really sorry, it's a mess right now.","I'm sorry, I'm making a mess right now.","oh, I'm sorry.  it's messy here.","Sorry, it's a mess right now."
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/008.json,images/balloon_dream/ja/008.jpg,"[73, 964, 104, 121]","<text>し</text><translation>Shi</translation><text>あ</text><translation>A</translation><text>ウカン・</text><translation>Ukan-</translation><text>ズッ</text><translation>Zu</translation><text>あのなぁ</text><translation>Ano naa</translation><text>．．．</text><translation>...</translation><text>その</text><translation>Sono</translation><text>相川さんもいっぱい膨らませちゃってください！</text><translation>Please let Aizawa-san inflate as much as possible too!</translation><text>？</text><translation>?</translation><text>ぷく</text><translation>Puku</translation><text>面倒くっさい奴人に押しつけてきやがって．．．！</text><translation>He's pushing it off on a troublesome person...!</translation><text>なにがちょっとした手伝いだあのボンクラ教師！！</text><translation>What kind of little help is that, that bumbling teacher!!</translation><text>それに．．．</text><translation>And besides...</translation><text>だからたくさん風船がいるんですっ</text><translation>That's why there are so many balloons!</translation><text>．</text><translation>.</translation><text>なっ</text><translation>Nat</translation><text>ＦＵＭＡＩＦＵＷＡ</text><translation>FUMAIFUWA</translation><text>ＨＹＵＵ！：</text><translation>HYUU!:</translation><text>風船でフワフワとカメラが宇宙へ行って．．．</text><translation>The camera goes up into space with the balloon floating...</translation><text>カメラを回収したら地球の写真が撮れてるんです！</text><translation>When you retrieve the camera, it takes pictures of the Earth!</translation><text>ＰＡＭ</text><translation>PAM</translation><text>ね？すっごくワクワクしませんか？</text><translation>Right? Aren't you super excited?</translation><text>以前テレビで見たんです！</text><translation>I saw it on TV before!</translation><text>風船が割れてパラシュートで落ちてきて．．．</text><translation>The balloon bursts and falls down with a parachute...</translation>",あのなぁ,Ano naa,Hey...,you know what?,I don't know about ...
